company_name,pageviews,hour_timestamp
Amazon,263,2025-12-31T13:00:00+00:00
Apple,239,2025-12-31T13:00:00+00:00
Facebook,1907,2025-12-31T13:00:00+00:00
Google,1950,2025-12-31T13:00:00+00:00
Microsoft,628,2025-12-31T13:00:00+00:00
