company_name,pageviews,hour_timestamp
Amazon,133,2026-01-01T09:00:00+00:00
Apple,136,2026-01-01T09:00:00+00:00
Facebook,1402,2026-01-01T09:00:00+00:00
Google,1406,2026-01-01T09:00:00+00:00
Microsoft,432,2026-01-01T09:00:00+00:00
