company_name,pageviews,hour_timestamp
Amazon,232,2026-01-01T14:00:00+00:00
Apple,203,2026-01-01T14:00:00+00:00
Facebook,1875,2026-01-01T14:00:00+00:00
Google,1768,2026-01-01T14:00:00+00:00
Microsoft,513,2026-01-01T14:00:00+00:00
